Id,Label,author_id,home_page,publications,interests,Faculty,Department ,citedby
169,Na Young Kim,4FbfIogAAAAJ,https://uwaterloo.ca/electrical-computer-engineering/profile/ny3kim,88,Electrical Engineering,Engineering,Electrical and Computer Engineering,2942
173,Richard Cook,e1PW608AAAAJ,https://uwaterloo.ca/statistics-and-actuarial-science/people-profiles/richard-j-cook,694,"Biostatistics, Clinical Trials, Statistics, Longitudinal Data",Mathematics,Statistics and Actuarial Science,34958
175,Shady Shehata,osOiYvYAAAAJ,https://www.linkedin.com/in/shady-shehata/,23,"Artificial Intelligence, Machine Learning, Natural Language Processing",Mathematics,Electrical and Computer Engineering,561
176,Gautam Kamath,MK6zHkYAAAAJ,http://www.gautamkamath.com/,57,"Statistics, Machine Learning, Privacy, Robustness",Mathematics,Computer Science,1881
178,Hongyang Zhang,wSstCv0AAAAJ,https://hongyanz.github.io/,,"Machine Learning, AI Security & Privacy, Trustworthy ML",Mathematics,Computer Science,1946
179,Pengyu Wei,LAWKnMgAAAAJ,https://sites.google.com/view/pengyuwei/,,"Actuarial Science, Insurance, Quantitative Finance, Risk Management",Mathematics,Statistics and Actuarial Science,71
181,Ken Seng Tan,RPQKqc0AAAAJ,https://dr.ntu.edu.sg/cris/rp/rp00143,,"Quasi-Monte Carlo method, Quantitative risk management, Optimal reinsurance, Longevity risk, Agricultural insurance",Mathematics,Statistics and Actuarial Science,3842
183,Matthias Schonlau,rpx7YzMAAAAJ,http://www.schonlau.net/,,"survey  methodology, open-ended questions, natural language processing, statistical learning",Mathematics,Statistics and Actuarial Science,17857
188,Ali Ghodsi,YsXNU78AAAAJ,http://www.cs.berkeley.edu/~alig,,"Big Data, Distributed Computing, Data Management, Networking",Mathematics,Statistics and Actuarial Science,16951
192,Omid Abari,4rihlSYAAAAJ,http://web.cs.ucla.edu/~omid/,,"Internet of Things (IoT), Computer Networks, Networked Systems, Wireless Networks, Software-Hardware Systems",Mathematics,Computer Science,1341
195,Andrew Wong,NmoASSIAAAAJ,,,"Bioinformatics, datamining, machine intelligence, pattern recognition, computer vision",Engineering,Bioengineering anf Biotechnology,18336
197,Mark Smucker,BgiGGQQAAAAJ,https://www.marksmucker.com/,,"Information Retrieval, Human Computer Interaction",Engineering,Management Sciences,3370
200,Carolyn Ren,OEppY8kAAAAJ,https://uwaterloo.ca/waterloo-microfluidics-laboratory/,,"microfluidics, Lab-on-a-Chip",Engineering,Mechanical and Mechatronics Engineering,4475
201,Yash Vardhan Pant,hdQid8kAAAAJ,http://yashpant.github.io/,,"Control Theory, Robotics, Machine Learning, Formal Methods, Optimization",Engineering,Electrical and Computer Engineering,398
207,Yue Hu,_KAdZKEAAAAJ,https://hu-yue.github.io/,,"Robotics, Phyical Human-Robot Interaction, Humanoid robots, Locomotion, Optimal Control",Engineering,Systems Design Engineering,151
209,Saeed Ghadimi,Kjlmi5MAAAAJ,https://www.saeedghadimi.com/,,"Convex and Nonconvex Optimization, Stochastic Programming, Machine Learning",Engineering,Management Sciences,2612
210,Liping Fu,FKpsUMgAAAAJ,http://www.itsslab.com/,,"Road Safety, ITS, AI and Big Data, Winter Road Maintenance, Railway",Engineering,Civil and Environmental Engineering,6431
214,Krzysztof Czarnecki,ZzCpumQAAAAJ,http://gsd.uwaterloo.ca/kczarnec,,"Software Engineering, Model-Driven Engineering, Software Product Lines, Variability Engineering",Engineering,Electrical and Computer Engineering,26554
215,David Clausi,Q5qzD7EAAAAJ,https://uwaterloo.ca/vision-image-processing-lab/people-profiles/david-clausi,,"Computer Vision, Remote Sensing, Image Processing, Pattern Recognition, Sports Analytics",Engineering,Systems Design Engineering,9838
217,Philip Beesley,jnn1kG0AAAAJ,http://www.philipbeesleyarchitect.com/,,"Architecture, Computation, Sculpture, Visual Art, Couture",Engineering,Architecture,2839
221,Janusz Pawliszyn,FyDRWooAAAAJ,https://uwaterloo.ca/pawliszyn-group/,,"Analytical Chemistry, Sample Preparation, SPME",Science,Chemistry,70581
223,Brendan McConkey,T4wUsIMAAAAJ,,,"Computational Biology, Biotechnology, Proteomics",Science,Biology,17261
226,Kim Cuddington,xt9r818AAAAJ,http://ecotheory.ca/,,"Theoretical ecology, Population ecology, Conservation",Science,Biology,5859
227,Kyung Choi,X_Qx5L4AAAAJ,http://research.iqc.uwaterloo.ca/uqml,,"Quantum Optics, Quantum Information Science, Quantum Many Body Physics, Quantum Memory, Quantum Materials",Science,Physics and Astronomy,3446
242,Mathieu Doucet,gC94TBgAAAAJ,,,"Philosophy, ethics, moral psychology",Arts,Philosophy,203
243,Dana Kulic,sL0KJlQAAAAJ,https://www.monash.edu/engineering/robotics,,"Robotics, Human-Robot Interaction, Human Motion Analysis",Engineering,Electrical and Computer Engineering,7427
198,John Simpson-Porco,tyQhs60AAAAJ,https://www.control.utoronto.ca/~jwsimpson/,,"Control Theory, Power Systems, Microgrids",Engineering,Electrical and Computer Engineering,4125
